Year	Month	Day	Date	Time	Sample depth	Taxa	Genus	Species	"habs/
nonhabs"	Effect	Toxin	 Density 							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Bacteriastrum	Bacteriastrum comosum				" 2,025 "							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Bacteriastrum	Bacteriastrum furcatum				" 4,000 "							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Bacteriastrum	Bacteriastrum minus				" 2,163 "							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Chaetoceros	Chaetoceros compressus				" 1,600 "							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Chaetoceros	Chaetoceros curvisetus				" 4,600 "							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Chaetoceros	Chaetoceros danicus				 488 							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Chaetoceros	Chaetoceros decipiens				 413 							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Chaetoceros	Chaetoceros denticulatus				 188 							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Chaetoceros	Chaetoceros didymus				 413 							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Chaetoceros	Chaetoceros paradoxus				" 1,200 "							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Chaetoceros	Chaetoceros peruvianus				 275 							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Chaetoceros	Chaetoceros radicans				" 2,100 "							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Coscinodiscus	Coscinodiscus granii				 38 							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Coscinodiscus	Coscinodiscus wailesii				 275 							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Cylindrotheca	Cylindrotheca closterium				 125 							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Dactyliosolen	Dactyliosolen phuketensis				 663 							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Detonula	Detonula confervacea				" 1,288 "							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Lauderia	Lauderia annulata				 375 							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Leptocylindrus	Leptocylindrus danicus				 425 							
2020	June	11	06/11/2020	12:10 PM	1	Diatom	Planktoniella	Planktoniella blanda				 150 							
